ID,length,height,bodyAngle,wheelAngle,headAngle,time
843,4174,270,18,103,80,1
2,2820,258,583,32,215,2
16615,2960,324,11,55,234,1
4,2773,269,583,230,555,2
9165,4240,264,17,73,78,1
6,3157,490,281,132,208,1
7,2862,490,554,116,75,2
16648,3864,254,61,666,752,1
8922,2845,260,18,40,211,1
853,4174,258,18,103,80,1
846,4174,262,18,103,80,1
4015,2039,321,6,164,1,1
13,3290,314,473,201,392,3
14,2863,490,558,119,71,1
3208,2997,263,21,416,206,1
837,4174,259,25,109,86,1
16321,2942,325,19,203,260,1
838,4174,262,25,109,86,1
839,4174,265,18,103,80,1
20,2993,321,543,169,88,5
21,2622,327,737,63,136,2
22,3297,330,364,64,170,1
850,4174,262,25,109,86,1
841,4174,270,24,109,86,1
6110,3009,258,34,79,214,1
852,4174,261,25,109,86,1
4320,4135,321,29,59,91,1
30,2609,323,736,196,152,2
33,2028,305,257,40,719,3
34,2028,305,244,29,706,1
36,2595,335,220,10,450,1
37,2595,335,220,10,450,1
38,2609,322,736,195,152,5
40,2911,327,417,385,523,2
1430,3133,262,51,111,206,1
42,2229,442,191,96,91,6
43,2229,441,196,99,96,1
44,2911,325,417,385,523,2
46,2940,328,169,153,474,2
47,3020,257,541,81,114,5
1427,3133,255,60,120,217,1
49,3020,254,539,80,118,2
50,3020,256,538,80,118,2
51,3020,256,537,80,118,2
54,3022,260,261,222,300,2
55,3309,317,467,57,383,2
12808,3011,264,18,199,198,1
12810,3013,265,21,200,207,1
17329,2052,313,5,8,59,1
63,2845,434,538,29,62,1
64,2800,277,511,191,353,2
65,2801,272,521,182,362,2
69,2357,462,188,17,119,1
70,2356,463,188,16,118,1
72,3536,499,368,33,224,1
73,3200,482,501,183,57,1
74,3185,459,282,165,234,1
75,3536,496,368,33,225,1
76,3200,478,501,185,57,1
78,3201,478,501,185,57,1
79,2477,437,152,238,18,2
81,2934,323,386,157,67,2
17629,3739,252,100,343,742,1
89,3817,257,170,78,435,2
91,3200,317,499,357,362,2
92,2443,441,187,30,89,1
93,2526,325,625,148,282,2
99,3211,463,281,82,223,1
100,2804,258,636,48,190,2
101,2804,259,635,48,190,3
14685,3773,317,64,436,802,1
108,2759,322,510,111,354,3
109,2848,256,645,10,156,2
110,1599,370,125,95,89,6
111,1599,370,125,95,89,6
11635,3759,254,101,614,729,1
13320,4108,252,138,379,519,1
120,2821,262,633,36,237,2
122,3721,332,457,284,508,1
123,3721,334,457,283,506,1
124,2821,261,633,38,237,3
126,3020,264,627,82,201,2
127,3721,332,457,285,506,1
128,3590,254,580,52,195,2
129,3068,334,173,288,545,1
133,2821,267,572,79,211,2
134,2605,337,220,152,435,2
135,2605,337,220,152,435,2
22007,3765,319,61,769,785,1
140,3211,460,289,72,234,1
